ID,Time,SPX
323,2023-04-13 13:35:38.525501+00:00,4104.9902
324,2023-04-13 13:35:39.418436+00:00,4104.96
325,2023-04-13 13:35:40.244176+00:00,4105.02
326,2023-04-13 13:35:41.074403+00:00,4105.02
327,2023-04-13 13:35:41.941369+00:00,4105.0698
328,2023-04-13 13:35:42.767004+00:00,4105.0298
329,2023-04-13 13:35:43.632807+00:00,4105.0498
330,2023-04-13 13:35:44.473008+00:00,4104.7798
331,2023-04-13 13:35:45.294865+00:00,4104.8301
332,2023-04-13 13:35:46.116621+00:00,4104.8301
333,2023-04-13 13:35:47.022050+00:00,4104.6802
334,2023-04-13 13:35:47.890615+00:00,4104.1802
335,2023-04-13 13:35:48.787916+00:00,4104.1001
336,2023-04-13 13:35:49.656161+00:00,4104.1602
337,2023-04-13 13:35:50.478490+00:00,4104.0
338,2023-04-13 13:35:51.426189+00:00,4103.8398
339,2023-04-13 13:35:52.277743+00:00,4103.8398
340,2023-04-13 13:35:53.177574+00:00,4103.7598
341,2023-04-13 13:35:54.045019+00:00,4103.7598
342,2023-04-13 13:35:54.980371+00:00,4103.6401
343,2023-04-13 13:35:55.811837+00:00,4103.46
344,2023-04-13 13:35:56.637323+00:00,4102.29
345,2023-04-13 13:35:57.518252+00:00,4102.02
346,2023-04-13 13:35:58.343176+00:00,4101.8901
347,2023-04-13 13:35:59.167570+00:00,4101.9302
348,2023-04-13 13:35:59.993231+00:00,4101.9302
349,2023-04-13 13:36:00.869129+00:00,4102.1201
350,2023-04-13 13:36:01.701008+00:00,4102.2002
351,2023-04-13 13:36:02.530234+00:00,4102.0898
352,2023-04-13 13:36:03.366929+00:00,4101.79
353,2023-04-13 13:36:04.314454+00:00,4101.7598
354,2023-04-13 13:36:05.142650+00:00,4101.6299
355,2023-04-13 13:36:05.969443+00:00,4101.6299
356,2023-04-13 13:36:06.792668+00:00,4101.46
357,2023-04-13 13:36:07.652127+00:00,4101.48
358,2023-04-13 13:36:08.479019+00:00,4101.73
359,2023-04-13 13:36:09.383343+00:00,4101.6899
360,2023-04-13 13:36:10.213553+00:00,4101.5601
361,2023-04-13 13:36:11.078914+00:00,4101.5601
362,2023-04-13 13:36:11.985920+00:00,4101.7402
363,2023-04-13 13:36:12.857272+00:00,4101.79
364,2023-04-13 13:36:13.758314+00:00,4101.4702
365,2023-04-13 13:36:14.582498+00:00,4101.52
366,2023-04-13 13:36:15.404793+00:00,4101.48
367,2023-04-13 13:36:16.298831+00:00,4101.4399
368,2023-04-13 13:36:17.127991+00:00,4101.29
369,2023-04-13 13:36:17.957192+00:00,4101.29
370,2023-04-13 13:36:18.785635+00:00,4101.2998
371,2023-04-13 13:36:19.650835+00:00,4101.2002
372,2023-04-13 13:36:20.556693+00:00,4101.1802
373,2023-04-13 13:36:21.388490+00:00,4101.3501
374,2023-04-13 13:36:22.219230+00:00,4101.5098
375,2023-04-13 13:36:23.150844+00:00,4101.6401
376,2023-04-13 13:36:23.976092+00:00,4101.6401
377,2023-04-13 13:36:24.836894+00:00,4101.6401
378,2023-04-13 13:36:25.663174+00:00,4101.6802
379,2023-04-13 13:36:26.607573+00:00,4101.6699
380,2023-04-13 13:36:27.432426+00:00,4101.7402
381,2023-04-13 13:36:28.261189+00:00,4101.8198
382,2023-04-13 13:36:29.078922+00:00,4101.8198
383,2023-04-13 13:36:29.939481+00:00,4101.6899
384,2023-04-13 13:36:30.771935+00:00,4101.5601
385,2023-04-13 13:36:31.595315+00:00,4101.2402
386,2023-04-13 13:36:32.417994+00:00,4101.1099
387,2023-04-13 13:36:33.247448+00:00,4101.0698
388,2023-04-13 13:36:34.079118+00:00,4101.0698
389,2023-04-13 13:36:34.909503+00:00,4101.02
390,2023-04-13 13:36:35.741221+00:00,4100.9199
391,2023-04-13 13:36:36.610067+00:00,4101.04
392,2023-04-13 13:36:37.482097+00:00,4101.0698
393,2023-04-13 13:36:38.386524+00:00,4101.1201
394,2023-04-13 13:36:39.215224+00:00,4101.25
395,2023-04-13 13:36:40.154353+00:00,4101.2202
396,2023-04-13 13:36:40.984126+00:00,4101.2202
397,2023-04-13 13:36:41.804145+00:00,4101.2598
398,2023-04-13 13:36:42.632756+00:00,4101.23
399,2023-04-13 13:36:43.501455+00:00,4101.3599
400,2023-04-13 13:36:44.368471+00:00,4101.3198
401,2023-04-13 13:36:45.194046+00:00,4101.0698
402,2023-04-13 13:36:46.101206+00:00,4101.0698
403,2023-04-13 13:36:46.928084+00:00,4101.02
404,2023-04-13 13:36:47.757749+00:00,4101.0298
405,2023-04-13 13:36:48.620099+00:00,4100.98
406,2023-04-13 13:36:49.445063+00:00,4100.8501
407,2023-04-13 13:36:50.346273+00:00,4100.4199
408,2023-04-13 13:36:51.166373+00:00,4100.4199
409,2023-04-13 13:36:52.000838+00:00,4100.4199
410,2023-04-13 13:36:52.900078+00:00,4100.5098
411,2023-04-13 13:36:53.750578+00:00,4100.5698
412,2023-04-13 13:36:54.610657+00:00,4100.5698
413,2023-04-13 13:36:55.553961+00:00,4100.5
414,2023-04-13 13:36:56.407771+00:00,4100.2998
415,2023-04-13 13:36:57.236100+00:00,4100.3701
416,2023-04-13 13:36:58.060440+00:00,4100.3701
417,2023-04-13 13:36:58.894507+00:00,4100.4399
418,2023-04-13 13:36:59.756449+00:00,4100.21
419,2023-04-13 13:37:00.627117+00:00,4100.3398
420,2023-04-13 13:37:01.470038+00:00,4100.5801
421,2023-04-13 13:37:02.342592+00:00,4100.6699
422,2023-04-13 13:37:03.176303+00:00,4100.8599
423,2023-04-13 13:37:04.008055+00:00,4100.8599
424,2023-04-13 13:37:04.837810+00:00,4100.9302
425,2023-04-13 13:37:05.707229+00:00,4100.8198
426,2023-04-13 13:37:06.613037+00:00,4100.9399
427,2023-04-13 13:37:07.436643+00:00,4101.0498
428,2023-04-13 13:37:08.346876+00:00,4101.0298
429,2023-04-13 13:37:09.179325+00:00,4100.9702
430,2023-04-13 13:37:10.005323+00:00,4100.9702
431,2023-04-13 13:37:10.909999+00:00,4100.7598
432,2023-04-13 13:37:11.737698+00:00,4100.6699
433,2023-04-13 13:37:12.608552+00:00,4100.6001
434,2023-04-13 13:37:13.438497+00:00,4100.5498
435,2023-04-13 13:37:14.369754+00:00,4100.5601
436,2023-04-13 13:37:15.196915+00:00,4100.4702
437,2023-04-13 13:37:16.025762+00:00,4100.4702
438,2023-04-13 13:37:16.928207+00:00,4100.4199
439,2023-04-13 13:37:17.761700+00:00,4100.4199
440,2023-04-13 13:37:18.616663+00:00,4100.0698
441,2023-04-13 13:37:19.515653+00:00,4099.9199
442,2023-04-13 13:37:20.420680+00:00,4099.8599
443,2023-04-13 13:37:21.250002+00:00,4099.9199
444,2023-04-13 13:37:22.115522+00:00,4099.8599
445,2023-04-13 13:37:22.934875+00:00,4099.8599
446,2023-04-13 13:37:23.794634+00:00,4099.8999
447,2023-04-13 13:37:24.622779+00:00,4099.9102
448,2023-04-13 13:37:25.559791+00:00,4099.9399
449,2023-04-13 13:37:26.419989+00:00,4099.8799
450,2023-04-13 13:37:27.247307+00:00,4099.8799
451,2023-04-13 13:37:28.075720+00:00,4099.8799
452,2023-04-13 13:37:28.979921+00:00,4099.7598
453,2023-04-13 13:37:29.801911+00:00,4099.8101
454,2023-04-13 13:37:30.626215+00:00,4099.6899
455,2023-04-13 13:37:31.453660+00:00,4099.4399
456,2023-04-13 13:37:32.278100+00:00,4099.3999
457,2023-04-13 13:37:33.098800+00:00,4099.3999
458,2023-04-13 13:37:33.927653+00:00,4099.4199
459,2023-04-13 13:37:34.754358+00:00,4099.6001
460,2023-04-13 13:37:35.580599+00:00,4100.1201
461,2023-04-13 13:37:36.489811+00:00,4100.0601
462,2023-04-13 13:37:37.428952+00:00,4100.0601
463,2023-04-13 13:37:38.254296+00:00,4100.02
464,2023-04-13 13:37:39.084552+00:00,4100.02
465,2023-04-13 13:37:39.912928+00:00,4100.2798
466,2023-04-13 13:37:40.855099+00:00,4100.1802
467,2023-04-13 13:37:41.722418+00:00,4100.4199
468,2023-04-13 13:37:42.593566+00:00,4100.6099
469,2023-04-13 13:37:43.427372+00:00,4100.4702
470,2023-04-13 13:37:44.296824+00:00,4100.46
471,2023-04-13 13:37:45.137201+00:00,4100.4102
472,2023-04-13 13:37:46.043291+00:00,4100.4102
473,2023-04-13 13:37:46.904940+00:00,4100.5601
474,2023-04-13 13:37:47.805069+00:00,4100.52
475,2023-04-13 13:37:48.706118+00:00,4100.5498
476,2023-04-13 13:37:49.613287+00:00,4100.6001
477,2023-04-13 13:37:50.447226+00:00,4100.6802
478,2023-04-13 13:37:51.351103+00:00,4100.6499
479,2023-04-13 13:37:52.195184+00:00,4100.5601
480,2023-04-13 13:37:53.026271+00:00,4100.5601
481,2023-04-13 13:37:53.897666+00:00,4100.5601
482,2023-04-13 13:37:54.764254+00:00,4100.5498
483,2023-04-13 13:37:55.624943+00:00,4100.6001
484,2023-04-13 13:37:56.563721+00:00,4100.52
485,2023-04-13 13:37:57.468914+00:00,4100.52
486,2023-04-13 13:37:58.295616+00:00,4100.46
487,2023-04-13 13:37:59.238601+00:00,4100.4702
488,2023-04-13 13:38:00.084874+00:00,4100.4702
489,2023-04-13 13:38:01.079633+00:00,4100.4902
490,2023-04-13 13:38:01.935206+00:00,4100.5601
491,2023-04-13 13:38:02.760309+00:00,4100.8501
492,2023-04-13 13:38:03.625590+00:00,4100.8101
493,2023-04-13 13:38:04.450758+00:00,4100.6602
494,2023-04-13 13:38:05.276310+00:00,4100.75
495,2023-04-13 13:38:06.110226+00:00,4100.75
496,2023-04-13 13:38:06.968093+00:00,4100.77
497,2023-04-13 13:38:07.790210+00:00,4100.5698
498,2023-04-13 13:38:08.687204+00:00,4100.5801
499,2023-04-13 13:38:09.627724+00:00,4100.6499
500,2023-04-13 13:38:10.459678+00:00,4100.7598
